song,songLabel,contributor,contributorLabel,role,album,albumLabel,genre,genreLabel,recordLabel,recordLabelLabel,country,countryLabel,releaseDate
http://www.wikidata.org/entity/Q59285479,Nothing Breaks Like a Heart,http://www.wikidata.org/entity/Q4235,Miley Cyrus,lyricist,,,http://www.wikidata.org/entity/Q83440,country music,http://www.wikidata.org/entity/Q202585,RCA Records,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q25067061,Les Mots,http://www.wikidata.org/entity/Q1716,Renaud,lyricist,,,http://www.wikidata.org/entity/Q1062400,chanson,http://www.wikidata.org/entity/Q208909,Parlophone,http://www.wikidata.org/entity/Q142,France,
http://www.wikidata.org/entity/Q58895468,Say My Name,http://www.wikidata.org/entity/Q8298,David Guetta,producer,,,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q202440,Atlantic Records,http://www.wikidata.org/entity/Q142,France,
http://www.wikidata.org/entity/Q58895468,Say My Name,http://www.wikidata.org/entity/Q8298,David Guetta,producer,,,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q208909,Parlophone,http://www.wikidata.org/entity/Q142,France,
http://www.wikidata.org/entity/Q58895468,Say My Name,http://www.wikidata.org/entity/Q8298,David Guetta,producer,,,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q843402,Warner Bros. Records,http://www.wikidata.org/entity/Q142,France,
http://www.wikidata.org/entity/Q58895468,Say My Name,http://www.wikidata.org/entity/Q8298,David Guetta,producer,,,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q62554847,What a Music,http://www.wikidata.org/entity/Q142,France,
http://www.wikidata.org/entity/Q55603669,All Mine,http://www.wikidata.org/entity/Q15935,Kanye West,producer,,,http://www.wikidata.org/entity/Q11401,hip-hop,http://www.wikidata.org/entity/Q1142456,GOOD Music,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q27677387,Better Man,http://www.wikidata.org/entity/Q26876,Taylor Swift,producer,http://www.wikidata.org/entity/Q28452576,The Breaker,http://www.wikidata.org/entity/Q83440,country music,http://www.wikidata.org/entity/Q1391770,Lost Highway,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q27677387,Better Man,http://www.wikidata.org/entity/Q26876,Taylor Swift,producer,http://www.wikidata.org/entity/Q28452576,The Breaker,http://www.wikidata.org/entity/Q83440,country music,http://www.wikidata.org/entity/Q4413456,Republic Records,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q27677387,Better Man,http://www.wikidata.org/entity/Q26876,Taylor Swift,producer,http://www.wikidata.org/entity/Q28452576,The Breaker,http://www.wikidata.org/entity/Q83440,country music,http://www.wikidata.org/entity/Q5035920,Capitol Records Nashville,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q23853630,Let Me Love You,http://www.wikidata.org/entity/Q15615,Lil Wayne,lyricist,,,http://www.wikidata.org/entity/Q850412,contemporary R&B,http://www.wikidata.org/entity/Q4413456,Republic Records,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q22043182,Send My Love (To Your New Lover),http://www.wikidata.org/entity/Q23215,Adele,lyricist,,,http://www.wikidata.org/entity/Q37073,pop music,http://www.wikidata.org/entity/Q1123947,XL Recordings,http://www.wikidata.org/entity/Q145,United Kingdom,
http://www.wikidata.org/entity/Q22043182,Send My Love (To Your New Lover),http://www.wikidata.org/entity/Q23215,Adele,lyricist,,,http://www.wikidata.org/entity/Q850412,contemporary R&B,http://www.wikidata.org/entity/Q1123947,XL Recordings,http://www.wikidata.org/entity/Q145,United Kingdom,
http://www.wikidata.org/entity/Q22682112,River Lea,http://www.wikidata.org/entity/Q23215,Adele,lyricist,,,http://www.wikidata.org/entity/Q180268,gospel music,http://www.wikidata.org/entity/Q1123947,XL Recordings,http://www.wikidata.org/entity/Q145,United Kingdom,
http://www.wikidata.org/entity/Q28452723,Make Me (Cry),http://www.wikidata.org/entity/Q48959,Labrinth,producer,,,http://www.wikidata.org/entity/Q217597,electro,http://www.wikidata.org/entity/Q4413456,Republic Records,http://www.wikidata.org/entity/Q145,United Kingdom,
http://www.wikidata.org/entity/Q25067061,Les Mots,http://www.wikidata.org/entity/Q1716,Renaud,performer,,,http://www.wikidata.org/entity/Q1062400,chanson,http://www.wikidata.org/entity/Q208909,Parlophone,http://www.wikidata.org/entity/Q142,France,
http://www.wikidata.org/entity/Q25218224,All Night,http://www.wikidata.org/entity/Q36153,Beyoncé,lyricist,,,http://www.wikidata.org/entity/Q850412,contemporary R&B,http://www.wikidata.org/entity/Q7138835,Parkwood Entertainment,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q22918941,New Romantics,http://www.wikidata.org/entity/Q26876,Taylor Swift,lyricist,http://www.wikidata.org/entity/Q17544553,1989,http://www.wikidata.org/entity/Q1298934,synth-pop,http://www.wikidata.org/entity/Q2902300,Big Machine Records,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q22918941,New Romantics,http://www.wikidata.org/entity/Q26876,Taylor Swift,lyricist,http://www.wikidata.org/entity/Q17544553,1989,http://www.wikidata.org/entity/Q1298934,synth-pop,http://www.wikidata.org/entity/Q4413456,Republic Records,http://www.wikidata.org/entity/Q30,United States,
